,Episode,Reward
0,0,-21.0
0,0,-21.0
0,0,-17.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-19.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-19.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-19.0
0,0,-19.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-19.0
0,0,-20.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-20.0
0,0,-19.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-19.0
0,0,-20.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-20.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-19.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-19.0
0,0,-20.0
0,0,-19.0
0,0,-20.0
0,0,-19.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-19.0
0,0,-21.0
0,0,-19.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-19.0
0,0,-20.0
0,0,-18.0
0,0,-21.0
0,0,-20.0
0,0,-20.0
0,0,-19.0
0,0,-20.0
0,0,-19.0
0,0,-19.0
0,0,-21.0
0,0,-20.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-20.0
0,0,-20.0
0,0,-20.0
0,0,-19.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-19.0
0,0,-20.0
0,0,-21.0
0,0,-19.0
0,0,-20.0
0,0,-21.0
0,0,-19.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-20.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-20.0
0,0,-20.0
0,0,-21.0
0,0,-19.0
0,0,-21.0
0,0,-19.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-19.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-18.0
0,0,-18.0
0,0,-21.0
0,0,-20.0
0,0,-19.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-20.0
0,0,-20.0
0,0,-19.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-19.0
1,1,-20.0
1,1,-20.0
1,1,-19.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-21.0
1,1,-20.0
1,1,-20.0
1,1,-20.0
1,1,-19.0
1,1,-21.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-19.0
1,1,-21.0
1,1,-21.0
1,1,-20.0
1,1,-20.0
1,1,-21.0
1,1,-21.0
1,1,-19.0
1,1,-20.0
1,1,-20.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-19.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-19.0
1,1,-21.0
1,1,-20.0
1,1,-20.0
1,1,-20.0
1,1,-20.0
1,1,-20.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-20.0
1,1,-19.0
1,1,-20.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-19.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-17.0
1,1,-20.0
1,1,-21.0
1,1,-21.0
1,1,-20.0
1,1,-20.0
1,1,-21.0
1,1,-19.0
1,1,-21.0
1,1,-19.0
1,1,-21.0
1,1,-19.0
1,1,-20.0
1,1,-21.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-20.0
1,1,-20.0
1,1,-21.0
1,1,-19.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-20.0
1,1,-20.0
1,1,-20.0
1,1,-18.0
1,1,-20.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-19.0
1,1,-20.0
1,1,-20.0
1,1,-20.0
1,1,-20.0
1,1,-20.0
1,1,-20.0
1,1,-21.0
1,1,-20.0
1,1,-20.0
1,1,-21.0
1,1,-20.0
1,1,-19.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-19.0
1,1,-20.0
1,1,-21.0
1,1,-19.0
1,1,-20.0
1,1,-20.0
1,1,-21.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-21.0
1,1,-20.0
1,1,-19.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-20.0
1,1,-20.0
1,1,-20.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-21.0
1,1,-19.0
1,1,-21.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-21.0
1,1,-19.0
1,1,-20.0
1,1,-20.0
1,1,-21.0
1,1,-21.0
1,1,-20.0
1,1,-20.0
1,1,-20.0
1,1,-19.0
1,1,-21.0
1,1,-20.0
1,1,-18.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-20.0
1,1,-20.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-19.0
1,1,-20.0
1,1,-20.0
1,1,-20.0
1,1,-21.0
2,2,-18.0
2,2,-20.0
2,2,-20.0
2,2,-19.0
2,2,-21.0
2,2,-19.0
2,2,-21.0
2,2,-21.0
2,2,-20.0
2,2,-20.0
2,2,-21.0
2,2,-19.0
2,2,-21.0
2,2,-19.0
2,2,-19.0
2,2,-20.0
2,2,-21.0
2,2,-21.0
2,2,-19.0
2,2,-20.0
2,2,-21.0
2,2,-21.0
2,2,-21.0
2,2,-20.0
2,2,-19.0
2,2,-21.0
2,2,-20.0
2,2,-20.0
2,2,-19.0
2,2,-21.0
2,2,-21.0
2,2,-19.0
2,2,-18.0
2,2,-21.0
2,2,-21.0
2,2,-21.0
2,2,-20.0
2,2,-21.0
2,2,-20.0
2,2,-21.0
2,2,-21.0
2,2,-20.0
2,2,-21.0
2,2,-21.0
2,2,-21.0
2,2,-21.0
2,2,-18.0
2,2,-20.0
2,2,-21.0
2,2,-21.0
2,2,-21.0
2,2,-21.0
2,2,-19.0
2,2,-21.0
2,2,-21.0
2,2,-21.0
2,2,-21.0
2,2,-21.0
2,2,-20.0
2,2,-21.0
2,2,-21.0
2,2,-21.0
2,2,-21.0
2,2,-20.0
2,2,-20.0
2,2,-21.0
2,2,-20.0
2,2,-21.0
2,2,-21.0
2,2,-21.0
2,2,-21.0
2,2,-21.0
2,2,-19.0
2,2,-20.0
2,2,-21.0
2,2,-20.0
2,2,-21.0
2,2,-18.0
2,2,-19.0
2,2,-20.0
2,2,-20.0
2,2,-20.0
2,2,-19.0
2,2,-21.0
2,2,-21.0
